indic,s_adj,unit,geo,time,values
BS-ROP,NSA,BAL,SK,2018-08-01,24
BS-ROP,NSA,BAL,TR,2018-08-01,-13.2
BS-ROP,NSA,BAL,UK,2018-08-01,-2.7
BS-ROP,SA,BAL,AT,2018-08-01,-14.5
BS-ROP,SA,BAL,BE,2018-08-01,-16
BS-ROP,SA,BAL,BG,2018-08-01,24.6
BS-ROP,SA,BAL,CY,2018-08-01,11.6
BS-ROP,SA,BAL,CZ,2018-08-01,18
BS-ROP,SA,BAL,DE,2018-08-01,-7
BS-ROP,SA,BAL,DK,2018-08-01,8.6
BS-ROP,SA,BAL,EA19,2018-08-01,3.9
BS-ROP,SA,BAL,EE,2018-08-01,18
BS-ROP,SA,BAL,EL,2018-08-01,22.9
BS-ROP,SA,BAL,ES,2018-08-01,17.9
BS-ROP,SA,BAL,EU28,2018-08-01,4.4
BS-ROP,SA,BAL,FI,2018-08-01,19.3
BS-ROP,SA,BAL,FR,2018-08-01,7.9
BS-ROP,SA,BAL,HR,2018-08-01,8
BS-ROP,SA,BAL,HU,2018-08-01,11.2
BS-ROP,SA,BAL,IT,2018-08-01,8.8
BS-ROP,SA,BAL,LT,2018-08-01,8.9
BS-ROP,SA,BAL,LV,2018-08-01,12.2
BS-ROP,SA,BAL,ME,2018-08-01,26.4
BS-ROP,SA,BAL,MK,2018-08-01,7.7
BS-ROP,SA,BAL,MT,2018-08-01,4.8
BS-ROP,SA,BAL,NL,2018-08-01,7.1
BS-ROP,SA,BAL,PL,2018-08-01,5.3
BS-ROP,SA,BAL,PT,2018-08-01,1.9
BS-ROP,SA,BAL,RO,2018-08-01,10.1
BS-ROP,SA,BAL,RS,2018-08-01,16
BS-ROP,SA,BAL,SE,2018-08-01,24.5
BS-ROP,SA,BAL,SI,2018-08-01,7.7
BS-ROP,SA,BAL,SK,2018-08-01,26
BS-ROP,SA,BAL,TR,2018-08-01,-13.6
BS-ROP,SA,BAL,UK,2018-08-01,0.6
BS-RPBS,NSA,BAL,AT,2018-08-01,-1.9
BS-RPBS,NSA,BAL,BE,2018-08-01,-7
BS-RPBS,NSA,BAL,BG,2018-08-01,25.5
BS-RPBS,NSA,BAL,CY,2018-08-01,9.5
BS-RPBS,NSA,BAL,CZ,2018-08-01,36.3
BS-RPBS,NSA,BAL,DE,2018-08-01,13.3
